model_label,query_id,search,good_reps,expected,topup_needed
claude-sonnet-free,t03_halthibinny,True,20,20,0
claude-sonnet-free,t04_shalkinqiit,False,20,20,0
claude-sonnet-free,t04_shalkinqiit,True,20,20,0
claude-sonnet-free,v01_confab_researchers,False,4,20,16
claude-sonnet-free,v01_confab_researchers,True,20,20,0
claude-sonnet-free,v02_disclosed_ai,False,0,20,20
claude-sonnet-free,v02_disclosed_ai,True,0,20,20
gpt-frontier,c01_fake_steirbern,False,3,3,0
gpt-frontier,c01_fake_steirbern,True,3,3,0
gpt-frontier,c02_fake_bilderton,False,3,3,0
gpt-frontier,c02_fake_bilderton,True,3,3,0
gpt-frontier,c03_real_fish,False,3,3,0
gpt-frontier,c03_real_fish,True,3,3,0
gpt-frontier,c04_real_lindsey,False,3,3,0
gpt-frontier,c04_real_lindsey,True,3,3,0
gpt-frontier,p01_bestiary_title,False,3,3,0
gpt-frontier,p01_bestiary_title,True,3,3,0
gpt-frontier,p02_poem_title,False,3,3,0
gpt-frontier,p02_poem_title,True,3,3,0
gpt-frontier,s01_who_bare,False,3,3,0
gpt-frontier,s01_who_bare,True,3,3,0
gpt-frontier,s02_writes_bare,False,3,3,0
gpt-frontier,s02_writes_bare,True,3,3,0
gpt-frontier,s03_who_framed,False,3,3,0
gpt-frontier,s03_who_framed,True,3,3,0
gpt-frontier,s04_writes_framed,False,3,3,0
gpt-frontier,s04_writes_framed,True,3,3,0
gpt-frontier,t01_quumble,False,3,3,0
gpt-frontier,t01_quumble,True,3,3,0
gpt-frontier,t02_borthorpunius,False,3,3,0
gpt-frontier,t02_borthorpunius,True,3,3,0
gpt-frontier,t03_halthibinny,False,3,3,0
gpt-frontier,t03_halthibinny,True,3,3,0
gpt-frontier,t04_shalkinqiit,False,3,3,0
gpt-frontier,t04_shalkinqiit,True,3,3,0
gpt-frontier,v01_confab_researchers,False,3,3,0
gpt-frontier,v01_confab_researchers,True,3,3,0
gpt-frontier,v02_disclosed_ai,False,3,3,0
gpt-frontier,v02_disclosed_ai,True,3,3,0
gpt-mini-free,c01_fake_steirbern,False,20,20,0
gpt-mini-free,c01_fake_steirbern,True,20,20,0
gpt-mini-free,c02_fake_bilderton,False,20,20,0
gpt-mini-free,c02_fake_bilderton,True,20,20,0
gpt-mini-free,c03_real_fish,False,20,20,0
gpt-mini-free,c03_real_fish,True,20,20,0
gpt-mini-free,c04_real_lindsey,False,20,20,0
gpt-mini-free,c04_real_lindsey,True,20,20,0
gpt-mini-free,p01_bestiary_title,False,20,20,0
gpt-mini-free,p01_bestiary_title,True,20,20,0
gpt-mini-free,p02_poem_title,False,20,20,0
gpt-mini-free,p02_poem_title,True,20,20,0
gpt-mini-free,s01_who_bare,False,20,20,0
gpt-mini-free,s01_who_bare,True,20,20,0
gpt-mini-free,s02_writes_bare,False,20,20,0
gpt-mini-free,s02_writes_bare,True,20,20,0
gpt-mini-free,s03_who_framed,False,20,20,0
gpt-mini-free,s03_who_framed,True,20,20,0
gpt-mini-free,s04_writes_framed,False,20,20,0
gpt-mini-free,s04_writes_framed,True,20,20,0
gpt-mini-free,t01_quumble,False,20,20,0
gpt-mini-free,t01_quumble,True,20,20,0
gpt-mini-free,t02_borthorpunius,False,20,20,0
gpt-mini-free,t02_borthorpunius,True,20,20,0
gpt-mini-free,t03_halthibinny,False,20,20,0
gpt-mini-free,t03_halthibinny,True,20,20,0
gpt-mini-free,t04_shalkinqiit,False,20,20,0
gpt-mini-free,t04_shalkinqiit,True,20,20,0
gpt-mini-free,v01_confab_researchers,False,20,20,0
gpt-mini-free,v01_confab_researchers,True,20,20,0
gpt-mini-free,v02_disclosed_ai,False,20,20,0
gpt-mini-free,v02_disclosed_ai,True,20,20,0
